add 0 0xa.ac1b5584c6aceb000000p-13 0xa.ac1b5584c6aceb000000p-13 0xa.ac1b5584c6aceaf00000p-12 0xa.ac1b5584c6aceb100000p-12
sub 0 0xa.ac1b5584c6aceb000000p-13 0xa.ac1b5584c6aceb000000p-13 -0x0.00000000000000000000p+0 0x0.00000000000000000000p+0
mul 0 0xa.ac1b5584c6aceb000000p-13 0xa.ac1b5584c6aceb000000p-13 0xe.3cbaed86a2e1c2100000p-23 0xe.3cbaed86a2e1c2300000p-23
div 0 0xa.ac1b5584c6aceb000000p-13 0xa.ac1b5584c6aceb000000p-13 0xf.ffffffffffffffd00000p-4 0x8.00000000000000200000p-3
sqrt 0 0xa.ac1b5584c6aceb000000p-13 0x0.00000000000000000000p+0 0x9.3d7340a2f797d0900000p-8 0x9.3d7340a2f797d0900000p-8
log 0 0x8.02ab06d56131ab400000p-3 0x0.00000000000000000000p+0 0xa.aa542359864383b00000p-13 0xa.aa542359864383b00000p-13
L 0 0xa.ac1b5584c6aceb000000p-13 0x0.00000000000000000000p+0 0x8.01555d79bc4250f00000p-3 0x8.01555d79bc4250f00000p-3
add 0 -0x9.0abebf3a29fa25000000p-14 0xb.33360d4376c285200000p-9 0xa.eae01749a572b3f00000p-9 0xa.eae01749a572b4100000p-9
sub 0 -0x9.0abebf3a29fa25000000p-14 0xb.33360d4376c285200000p-9 -0xb.7b8c033d481256500000p-9 -0xb.7b8c033d481256300000p-9
mul 0 -0x9.0abebf3a29fa25000000p-14 0xb.33360d4376c285200000p-9 -0xc.a8a7de784d7ac1900000p-20 -0xc.a8a7de784d7ac1700000p-20
div 0 -0x9.0abebf3a29fa25000000p-14 0xb.33360d4376c285200000p-9 -0xc.eac410560ef082800000p-9 -0xc.eac410560ef082400000p-9
sqrt 0 0x9.0abebf3a29fa25000000p-14 0x0.00000000000000000000p+0 0xc.0727b2bcd90f42000000p-9 0xc.0727b2bcd90f42000000p-9
add 0 0xd.b207073e08fc68c00000p-10 -0xf.f6e7580e3a8dbea00000p-8 -0xc.8a65963eb84ea4800000p-8 -0xc.8a65963eb84ea4600000p-8
sub 0 0xd.b207073e08fc68c00000p-10 -0xf.f6e7580e3a8dbea00000p-8 0x9.b1b48ceede666c500000p-7 0x9.b1b48ceede666c700000p-7
mul 0 0xd.b207073e08fc68c00000p-10 -0xf.f6e7580e3a8dbea00000p-8 -0xd.aa3dc87e4f5315d00000p-14 -0xd.aa3dc87e4f5315b00000p-14
div 0 0xd.b207073e08fc68c00000p-10 -0xf.f6e7580e3a8dbea00000p-8 -0xd.b9d4b5b654bc31200000p-6 -0xd.b9d4b5b654bc30d00000p-6
sqrt 0 0xd.b207073e08fc68c00000p-10 0x0.00000000000000000000p+0 0xe.cd8cc650e8e19db00000p-7 0xe.cd8cc650e8e19db00000p-7
add 0 -0xc.1fb5af884f6be9e00000p-9 -0xc.680811e994d651600000p-7 -0xf.6ff57dcba8b14bf00000p-7 -0xf.6ff57dcba8b14bd00000p-7
sub 0 -0xc.1fb5af884f6be9e00000p-9 -0xc.680811e994d651600000p-7 0x9.601aa60780fb56d00000p-7 0x9.601aa60780fb56f00000p-7
mul 0 -0xc.1fb5af884f6be9e00000p-9 -0xc.680811e994d651600000p-7 0x9.669c7e08b8f157e00000p-12 0x9.669c7e08b8f158000000p-12
div 0 -0xc.1fb5af884f6be9e00000p-9 -0xc.680811e994d651600000p-7 0xf.a2babe6fe98c8a900000p-6 0xf.a2babe6fe98c8ae00000p-6
sqrt 0 0xc.1fb5af884f6be9e00000p-9 0x0.00000000000000000000p+0 0x9.d9308ff1fef7f3300000p-6 0x9.d9308ff1fef7f3300000p-6
add 0 0xd.f9458ac6060b10000000p-8 0xd.cba7f6ee5359e4e00000p-6 0x8.a4fcaccfea6e54600000p-5 0x8.a4fcaccfea6e54800000p-5
sub 0 0xd.f9458ac6060b10000000p-8 0xd.cba7f6ee5359e4e00000p-6 -0xa.4d56943cd1d720f00000p-6 -0xa.4d56943cd1d720d00000p-6
mul 0 0xd.f9458ac6060b10000000p-8 0xd.cba7f6ee5359e4e00000p-6 0xc.0c65d4801fb438700000p-10 0xc.0c65d4801fb438900000p-10
div 0 0xd.f9458ac6060b10000000p-8 0xd.cba7f6ee5359e4e00000p-6 0x8.1a73cd84368f07900000p-5 0x8.1a73cd84368f07c00000p-5
sqrt 0 0xd.f9458ac6060b10000000p-8 0x0.00000000000000000000p+0 0xe.f3dbe8b4170bcbb00000p-6 0xe.f3dbe8b4170bcbb00000p-6
add 0 -0x8.7b16329cd6218c800000p-9 0xb.df45eea3747cc3400000p-6 0xa.cfe3284fd9b891a00000p-6 0xa.cfe3284fd9b891c00000p-6
sub 0 -0x8.7b16329cd6218c800000p-9 0xb.df45eea3747cc3400000p-6 -0xc.eea8b4f70f40f4e00000p-6 -0xc.eea8b4f70f40f4c00000p-6
mul 0 -0x8.7b16329cd6218c800000p-9 0xb.df45eea3747cc3400000p-6 -0xc.95efb2f50a8ac5200000p-12 -0xc.95efb2f50a8ac5000000p-12
div 0 -0x8.7b16329cd6218c800000p-9 0xb.df45eea3747cc3400000p-6 -0xb.6df40708e11e24800000p-7 -0xb.6df40708e11e24400000p-7
sqrt 0 0x8.7b16329cd6218c800000p-9 0x0.00000000000000000000p+0 0x8.3ca53b668fda05400000p-6 0x8.3ca53b668fda05400000p-6
add 0 0xb.ff0f0e47aea5ab400000p-6 -0xe.ef3cb9b105cbef200000p-4 -0xb.ef78f61f1a2284600000p-4 -0xb.ef78f61f1a2284400000p-4
sub 0 0xb.ff0f0e47aea5ab400000p-6 -0xe.ef3cb9b105cbef200000p-4 0x8.f7803ea178baacf00000p-3 0x8.f7803ea178baad100000p-3
mul 0 0xb.ff0f0e47aea5ab400000p-6 -0xe.ef3cb9b105cbef200000p-4 -0xb.328ca5165522d6600000p-6 -0xb.328ca5165522d6400000p-6
div 0 0xb.ff0f0e47aea5ab400000p-6 -0xe.ef3cb9b105cbef200000p-4 -0xc.da289beb19c7e5900000p-6 -0xc.da289beb19c7e5400000p-6
sqrt 0 0xb.ff0f0e47aea5ab400000p-6 0x0.00000000000000000000p+0 0xd.dab2557c9aa8a2000000p-5 0xd.dab2557c9aa8a2000000p-5
add 0 -0xc.a2e6e4121de9f0600000p-5 -0xa.d71a695b2eb6f5e00000p-3 -0xd.ffd4225fb63172100000p-3 -0xd.ffd4225fb63171f00000p-3
sub 0 -0xc.a2e6e4121de9f0600000p-5 -0xa.d71a695b2eb6f5e00000p-3 0xf.5cc160ad4e78f3800000p-4 0xf.5cc160ad4e78f3a00000p-4
mul 0 -0xc.a2e6e4121de9f0600000p-5 -0xa.d71a695b2eb6f5e00000p-3 0x8.8fb2291047605d600000p-4 0x8.8fb2291047605d800000p-4
div 0 -0xc.a2e6e4121de9f0600000p-5 -0xa.d71a695b2eb6f5e00000p-3 0x9.5353bfc082c948000000p-5 0x9.5353bfc082c948400000p-5
sqrt 0 0xc.a2e6e4121de9f0600000p-5 0x0.00000000000000000000p+0 0xa.0dec439527d22ac00000p-4 0xa.0dec439527d22ac00000p-4
add 0 0xc.dae8e0548546f5000000p-5 0x8.5fd44070937a1d600000p-2 0x9.fb315c7b2422fbf00000p-2 0x9.fb315c7b2422fc100000p-2
